full_date,date_key,year,quarter,quarter_name,month,month_name,year_month,week,day,day_of_week,day_name,is_weekend,is_month_end
2016-05-21,20160521,2016,2,Q2 2016,5,May,2016-05,20,21,6,Saturday,1,0
2016-05-22,20160522,2016,2,Q2 2016,5,May,2016-05,20,22,7,Sunday,1,0
2016-05-23,20160523,2016,2,Q2 2016,5,May,2016-05,21,23,1,Monday,0,0
2016-05-24,20160524,2016,2,Q2 2016,5,May,2016-05,21,24,2,Tuesday,0,0
2016-05-25,20160525,2016,2,Q2 2016,5,May,2016-05,21,25,3,Wednesday,0,0
2016-05-26,20160526,2016,2,Q2 2016,5,May,2016-05,21,26,4,Thursday,0,0
2016-05-27,20160527,2016,2,Q2 2016,5,May,2016-05,21,27,5,Friday,0,0
2016-05-28,20160528,2016,2,Q2 2016,5,May,2016-05,21,28,6,Saturday,1,0
2016-05-29,20160529,2016,2,Q2 2016,5,May,2016-05,21,29,7,Sunday,1,0
2016-05-30,20160530,2016,2,Q2 2016,5,May,2016-05,22,30,1,Monday,0,0
2016-05-31,20160531,2016,2,Q2 2016,5,May,2016-05,22,31,2,Tuesday,0,1
2016-06-01,20160601,2016,2,Q2 2016,6,June,2016-06,22,1,3,Wednesday,0,0
2016-06-02,20160602,2016,2,Q2 2016,6,June,2016-06,22,2,4,Thursday,0,0
2016-06-03,20160603,2016,2,Q2 2016,6,June,2016-06,22,3,5,Friday,0,0
2016-06-04,20160604,2016,2,Q2 2016,6,June,2016-06,22,4,6,Saturday,1,0
2016-06-05,20160605,2016,2,Q2 2016,6,June,2016-06,22,5,7,Sunday,1,0
2016-06-06,20160606,2016,2,Q2 2016,6,June,2016-06,23,6,1,Monday,0,0
2016-06-07,20160607,2016,2,Q2 2016,6,June,2016-06,23,7,2,Tuesday,0,0
2016-06-08,20160608,2016,2,Q2 2016,6,June,2016-06,23,8,3,Wednesday,0,0
2016-06-09,20160609,2016,2,Q2 2016,6,June,2016-06,23,9,4,Thursday,0,0
2016-06-10,20160610,2016,2,Q2 2016,6,June,2016-06,23,10,5,Friday,0,0
2016-06-11,20160611,2016,2,Q2 2016,6,June,2016-06,23,11,6,Saturday,1,0
2016-06-12,20160612,2016,2,Q2 2016,6,June,2016-06,23,12,7,Sunday,1,0
2016-06-13,20160613,2016,2,Q2 2016,6,June,2016-06,24,13,1,Monday,0,0
2016-06-14,20160614,2016,2,Q2 2016,6,June,2016-06,24,14,2,Tuesday,0,0
2016-06-15,20160615,2016,2,Q2 2016,6,June,2016-06,24,15,3,Wednesday,0,0
2016-06-16,20160616,2016,2,Q2 2016,6,June,2016-06,24,16,4,Thursday,0,0
2016-06-17,20160617,2016,2,Q2 2016,6,June,2016-06,24,17,5,Friday,0,0
2016-06-18,20160618,2016,2,Q2 2016,6,June,2016-06,24,18,6,Saturday,1,0
2016-06-19,20160619,2016,2,Q2 2016,6,June,2016-06,24,19,7,Sunday,1,0
2016-06-20,20160620,2016,2,Q2 2016,6,June,2016-06,25,20,1,Monday,0,0
2016-06-21,20160621,2016,2,Q2 2016,6,June,2016-06,25,21,2,Tuesday,0,0
2016-06-22,20160622,2016,2,Q2 2016,6,June,2016-06,25,22,3,Wednesday,0,0
2016-06-23,20160623,2016,2,Q2 2016,6,June,2016-06,25,23,4,Thursday,0,0
2016-06-24,20160624,2016,2,Q2 2016,6,June,2016-06,25,24,5,Friday,0,0
2016-06-25,20160625,2016,2,Q2 2016,6,June,2016-06,25,25,6,Saturday,1,0
2016-06-26,20160626,2016,2,Q2 2016,6,June,2016-06,25,26,7,Sunday,1,0
2016-06-27,20160627,2016,2,Q2 2016,6,June,2016-06,26,27,1,Monday,0,0
2016-06-28,20160628,2016,2,Q2 2016,6,June,2016-06,26,28,2,Tuesday,0,0
2016-06-29,20160629,2016,2,Q2 2016,6,June,2016-06,26,29,3,Wednesday,0,0
2016-06-30,20160630,2016,2,Q2 2016,6,June,2016-06,26,30,4,Thursday,0,1
2016-07-01,20160701,2016,3,Q3 2016,7,July,2016-07,26,1,5,Friday,0,0
2016-07-02,20160702,2016,3,Q3 2016,7,July,2016-07,26,2,6,Saturday,1,0
2016-07-03,20160703,2016,3,Q3 2016,7,July,2016-07,26,3,7,Sunday,1,0
2016-07-04,20160704,2016,3,Q3 2016,7,July,2016-07,27,4,1,Monday,0,0
2016-07-05,20160705,2016,3,Q3 2016,7,July,2016-07,27,5,2,Tuesday,0,0
2016-07-06,20160706,2016,3,Q3 2016,7,July,2016-07,27,6,3,Wednesday,0,0
2016-07-07,20160707,2016,3,Q3 2016,7,July,2016-07,27,7,4,Thursday,0,0
2016-07-08,20160708,2016,3,Q3 2016,7,July,2016-07,27,8,5,Friday,0,0
2016-07-09,20160709,2016,3,Q3 2016,7,July,2016-07,27,9,6,Saturday,1,0
2016-07-10,20160710,2016,3,Q3 2016,7,July,2016-07,27,10,7,Sunday,1,0
2016-07-11,20160711,2016,3,Q3 2016,7,July,2016-07,28,11,1,Monday,0,0
2016-07-12,20160712,2016,3,Q3 2016,7,July,2016-07,28,12,2,Tuesday,0,0
2016-07-13,20160713,2016,3,Q3 2016,7,July,2016-07,28,13,3,Wednesday,0,0
2016-07-14,20160714,2016,3,Q3 2016,7,July,2016-07,28,14,4,Thursday,0,0
2016-07-15,20160715,2016,3,Q3 2016,7,July,2016-07,28,15,5,Friday,0,0
2016-07-16,20160716,2016,3,Q3 2016,7,July,2016-07,28,16,6,Saturday,1,0
2016-07-17,20160717,2016,3,Q3 2016,7,July,2016-07,28,17,7,Sunday,1,0
2016-07-18,20160718,2016,3,Q3 2016,7,July,2016-07,29,18,1,Monday,0,0
2016-07-19,20160719,2016,3,Q3 2016,7,July,2016-07,29,19,2,Tuesday,0,0
2016-07-20,20160720,2016,3,Q3 2016,7,July,2016-07,29,20,3,Wednesday,0,0
2016-07-21,20160721,2016,3,Q3 2016,7,July,2016-07,29,21,4,Thursday,0,0
2016-07-22,20160722,2016,3,Q3 2016,7,July,2016-07,29,22,5,Friday,0,0
